5.0,3.2,1.2,0.2,Iris-setosa
5.0,2.3,3.3,1.0,Iris-versicolor
6.8,3.2,5.9,2.3,Iris-virginica
6.7,3.0,5.2,2.3,Iris-virginica
5.1,3.4,1.5,0.2,Iris-setosa
5.7,2.9,4.2,1.3,Iris-versicolor
6.3,2.5,5.0,1.9,Iris-virginica
5.0,3.5,1.3,0.3,Iris-setosa
6.2,2.9,4.3,1.3,Iris-versicolor
4.9,3.1,1.5,0.1,Iris-setosa
5.6,2.7,4.2,1.3,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
5.8,2.7,5.1,1.9,Iris-virginica
5.1,2.5,3.0,1.1,Iris-versicolor
6.2,3.4,5.4,2.3,Iris-virginica
4.4,3.2,1.3,0.2,Iris-setosa
5.7,2.8,4.1,1.3,Iris-versicolor
5.9,3.0,5.1,1.8,Iris-virginica
5.5,3.5,1.3,0.2,Iris-setosa
6.7,3.3,5.7,2.5,Iris-virginica
4.4,3.0,1.3,0.2,Iris-setosa
5.7,3.0,4.2,1.2,Iris-versicolor
6.5,3.0,5.2,2.0,Iris-virginica
4.5,2.3,1.3,0.3,Iris-setosa
