7.7,3.0,6.1,2.3,Iris-virginica
4.8,3.0,1.4,0.3,Iris-setosa
5.6,3.0,4.1,1.3,Iris-versicolor
5.1,3.8,1.6,0.2,Iris-setosa
6.3,3.4,5.6,2.4,Iris-virginica
5.5,2.5,4.0,1.3,Iris-versicolor
6.9,3.1,5.1,2.3,Iris-virginica
5.5,2.6,4.4,1.2,Iris-versicolor
6.4,3.1,5.5,1.8,Iris-virginica
4.6,3.2,1.4,0.2,Iris-setosa
5.0,3.3,1.4,0.2,Iris-setosa
6.0,3.4,4.5,1.6,Iris-versicolor
5.1,3.8,1.9,0.4,Iris-setosa
6.1,3.0,4.6,1.4,Iris-versicolor
6.0,3.0,4.8,1.8,Iris-virginica
6.7,3.1,4.7,1.5,Iris-versicolor
5.0,3.5,1.6,0.6,Iris-setosa
6.3,2.3,4.4,1.3,Iris-versicolor
6.9,3.1,5.4,2.1,Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica
5.3,3.7,1.5,0.2,Iris-setosa
